Date,Stock,macro_gdp,macro_cpi,macro_csent,macro_candh,macro_retailsal,macro_indpro,macro_bondyd,macro_ppiaco,macro_DCOILBRENTEU,Debt to Equity Ratio,Return on Assets,TTM Net EPS,PE Ratio,FF-RmxRf,FF-SMB,FF-HML,FF-Rf,adjusted,sma3,sma13,sma20,ema14,rsi14,macd,signal,Social Media Sentiment,ret,ret1
3/1/2015,COST,17280.65,0.60,93.00,-0.05,391056.00,101.81,2.04,191.50,1.17,2.10,0.07,5.22,23.88,-0.01,0.03,0.00,0.00,130.87,146.64,128.39,124.42,131.49,86.19,7.41,6.19,0.23,0.02,-0.01
4/1/2015,COST,17380.88,0.20,95.90,-0.04,391375.00,101.23,1.94,190.90,1.17,2.10,0.07,5.22,23.88,0.01,-0.03,0.02,0.00,129.18,148.92,131.04,126.11,133.73,82.19,8.23,6.32,0.00,-0.01,-0.02
5/1/2015,COST,17380.88,0.51,90.70,-0.05,394332.00,100.75,2.20,193.40,1.17,2.10,0.07,5.22,23.88,0.01,0.01,-0.01,0.00,126.08,147.59,133.43,127.51,135.14,74.73,8.84,6.59,-0.14,-0.02,-0.04
6/1/2015,COST,17380.88,0.35,96.10,-0.05,394859.00,100.45,2.36,194.80,1.73,2.05,0.07,5.37,22.86,-0.02,0.03,-0.01,0.00,121.45,143.86,135.29,128.65,135.66,66.02,9.27,6.96,-0.08,-0.04,0.03
7/1/2015,COST,17437.08,0.01,93.10,-0.02,398128.00,101.11,2.32,193.90,1.73,2.05,0.07,5.37,22.86,0.02,-0.04,-0.04,0.00,124.84,142.07,137.35,129.63,136.62,68.88,9.90,7.44,-0.13,0.03,0.00
8/1/2015,COST,17437.08,-0.14,91.90,-0.05,397710.00,100.88,2.17,191.90,1.73,2.05,0.07,5.37,22.86,-0.06,0.00,0.03,0.00,125.14,141.63,139.32,130.79,137.47,68.95,10.34,7.98,-0.06,0.00,0.00
9/1/2015,COST,17437.08,-0.16,87.20,-0.04,396112.00,100.61,2.17,189.10,1.09,2.20,0.07,5.34,26.57,-0.03,-0.03,0.01,0.00,124.55,142.68,141.04,132.15,138.10,67.59,10.53,8.54,-0.09,0.00,0.08
10/1/2015,COST,17462.58,-0.04,90.00,-0.09,394425.00,100.15,2.07,187.50,1.09,2.20,0.07,5.34,26.57,0.08,-0.02,0.00,0.00,134.02,146.05,143.15,134.08,140.08,74.80,10.85,9.10,0.00,0.08,0.04
11/1/2015,COST,17462.58,-0.21,91.30,-0.03,396141.00,99.38,2.26,185.70,1.09,2.20,0.07,5.34,26.57,0.01,0.04,0.00,0.00,139.63,151.42,145.52,136.35,142.62,77.81,10.79,9.57,-0.36,0.04,0.02
12/1/2015,COST,17462.58,-0.34,92.60,-0.02,397244.00,98.86,2.24,183.50,1.24,1.88,0.07,5.23,25.28,-0.02,-0.03,-0.03,0.00,142.40,158.07,147.35,138.79,145.22,79.14,10.59,9.93,-0.09,0.02,-0.06
1/1/2016,COST,17565.47,0.17,92.00,-0.08,394576.00,99.41,2.09,182.60,1.24,1.88,0.07,5.23,25.28,-0.06,-0.03,0.02,0.00,134.17,158.00,148.19,140.69,146.22,65.97,10.36,10.16,0.09,-0.06,-0.02
2/1/2016,COST,17565.47,0.08,91.70,0.03,398149.00,98.89,1.78,181.30,1.24,1.88,0.07,5.23,25.28,0.00,0.01,-0.01,0.00,131.02,154.60,148.77,142.33,146.58,61.45,9.48,10.23,0.00,-0.02,0.03
3/1/2016,COST,17565.47,0.43,91.00,-0.13,396959.00,98.14,1.89,182.10,1.24,1.88,0.07,5.30,24.81,0.07,0.01,0.01,0.00,134.73,151.55,149.13,144.11,147.44,64.25,8.49,10.15,-0.06,0.03,0.00
4/1/2016,COST,17618.58,0.47,89.00,-0.05,398099.00,98.44,1.81,183.20,1.24,1.88,0.07,5.30,24.81,0.01,0.01,0.03,0.00,134.46,151.50,149.32,145.75,148.13,63.80,7.60,9.89,-0.21,0.00,-0.04
5/1/2016,COST,17618.58,0.40,94.70,-0.05,399909.00,98.21,1.81,185.30,1.24,1.88,0.07,5.30,24.81,0.02,0.00,-0.02,0.00,129.44,150.71,149.18,146.80,147.92,56.74,6.77,9.49,-0.15,-0.04,0.06
6/1/2016,COST,17618.58,0.33,93.50,-0.01,404677.00,98.68,1.64,187.60,1.76,1.69,0.07,5.02,34.38,0.00,0.01,-0.01,0.00,136.88,151.37,150.00,148.13,148.86,62.87,6.49,9.05,0.00,0.06,0.07
7/1/2016,COST,17724.49,-0.16,90.00,-0.04,403648.00,98.84,1.50,187.70,1.76,1.69,0.07,5.02,34.38,0.04,0.03,-0.01,0.00,145.88,155.55,152.02,149.47,151.03,68.66,6.35,8.55,-0.19,0.07,0.01
8/1/2016,COST,17724.49,0.09,89.80,-0.05,403861.00,98.73,1.56,186.60,1.76,1.69,0.07,5.02,34.38,0.00,0.01,0.03,0.00,147.57,162.29,153.85,150.72,153.13,69.47,6.29,8.05,0.00,0.01,-0.08
9/1/2016,COST,17724.49,0.24,91.20,-0.06,406384.00,98.63,1.63,186.90,1.24,1.99,0.07,5.70,25.20,0.00,0.02,-0.01,0.00,135.11,161.49,154.59,151.28,153.05,55.77,5.90,7.53,0.14,-0.08,-0.02
10/1/2016,COST,17812.56,0.12,87.20,-0.04,407253.00,98.71,1.76,186.70,1.24,1.99,0.07,5.70,25.20,-0.02,-0.04,0.04,0.00,132.93,156.47,155.20,151.37,152.65,53.79,4.90,6.92,0.00,-0.02,0.00
11/1/2016,COST,17812.56,-0.16,93.80,-0.07,405872.00,98.30,2.14,186.30,1.24,1.99,0.07,5.70,25.20,0.05,0.06,0.08,0.00,132.35,150.55,154.89,151.31,152.17,52.90,3.70,6.28,-0.31,0.00,0.07
12/1/2016,COST,17812.56,0.03,98.20,0.03,413211.00,98.91,2.49,188.20,1.17,1.80,0.07,5.70,23.41,0.02,0.00,0.04,0.00,141.13,152.65,154.87,151.84,153.06,59.47,2.71,5.63,0.00,0.07,0.02
1/1/2017,COST,17889.09,0.58,98.50,-0.06,416024.00,98.73,2.43,190.70,1.17,1.80,0.07,5.70,23.41,0.02,-0.01,-0.03,0.00,144.51,156.85,154.91,152.76,154.34,61.69,2.62,5.08,-0.13,0.02,0.06
2/1/2017,COST,17889.09,0.31,96.30,-0.04,416011.00,98.42,2.42,191.60,1.17,1.80,0.07,5.70,23.41,0.04,-0.02,-0.02,0.00,153.58,164.69,156.43,154.43,156.77,66.77,3.12,4.68,0.00,0.06,-0.03
3/1/2017,COST,17889.09,0.08,96.90,-0.04,414942.00,99.07,2.48,191.50,1.59,2.50,0.07,5.63,28.05,0.00,0.01,-0.03,0.00,149.46,167.66,157.89,155.68,158.24,62.48,3.24,4.31,-0.05,-0.03,0.02
4/1/2017,COST,17979.22,0.30,97.00,-0.05,416702.00,100.05,2.30,193.00,1.59,2.50,0.07,5.63,28.05,0.01,0.01,-0.02,0.00,152.37,170.46,159.28,157.08,159.95,64.19,3.65,4.01,-0.11,0.02,0.05
5/1/2017,COST,17979.22,0.09,97.10,-0.07,414274.00,100.14,2.30,192.80,1.59,2.50,0.07,5.63,28.05,0.01,-0.03,-0.04,0.00,160.68,171.15,160.97,158.70,161.90,66.01,4.53,3.82,0.05,0.05,-0.01
6/1/2017,COST,17979.22,0.09,95.00,0.00,416360.00,100.31,2.19,193.60,2.08,2.28,0.07,5.77,29.08,0.01,0.02,0.01,0.00,159.01,172.25,162.86,159.61,163.13,62.60,4.80,3.70,0.14,-0.01,-0.10
7/1/2017,COST,18127.99,-0.07,93.40,-0.04,416487.00,100.14,2.32,193.50,2.08,2.28,0.07,5.77,29.08,0.02,-0.01,0.00,0.00,142.47,166.33,162.73,159.32,161.81,48.96,3.94,3.59,0.00,-0.10,0.02
8/1/2017,COST,18127.99,0.30,96.80,-0.07,417014.00,99.69,2.21,193.80,2.08,2.28,0.07,5.77,29.08,0.00,-0.02,-0.02,0.00,145.99,160.39,162.08,159.05,161.15,51.22,2.96,3.51,-0.20,0.02,0.03
9/1/2017,COST,18127.99,0.53,95.10,0.01,426455.00,99.78,2.20,194.80,1.45,2.47,0.08,6.08,24.05,0.03,0.04,0.03,0.00,150.35,157.11,161.66,159.48,161.16,54.00,2.96,3.53,0.19,0.03,0.00
10/1/2017,COST,18310.30,-0.06,100.70,-0.03,426656.00,101.04,2.36,194.90,1.45,2.47,0.08,6.08,24.05,0.02,-0.02,0.00,0.00,149.76,159.56,162.28,160.06,161.09,53.52,3.07,3.58,-0.38,0.00,0.06
11/1/2017,COST,18310.30,0.00,98.50,0.01,430967.00,101.23,2.35,195.90,1.45,2.47,0.08,6.08,24.05,0.03,-0.01,0.00,0.00,159.49,164.22,163.87,160.95,162.38,59.59,3.50,3.63,-0.04,0.06,0.10
12/1/2017,COST,18310.30,-0.06,95.90,0.00,434129.00,101.39,2.40,196.30,1.59,2.21,0.08,6.43,27.85,0.01,-0.01,0.00,0.00,175.63,173.07,166.86,162.71,165.77,67.26,4.13,3.73,-0.48,0.10,0.02
1/1/2018,COST,18437.13,0.54,95.70,-0.09,431785.00,101.35,2.58,197.90,1.59,2.21,0.08,6.43,27.85,0.06,-0.03,-0.01,0.00,179.68,183.58,169.42,164.99,169.28,68.88,4.83,3.86,-0.06,0.02,-0.03
2/1/2018,COST,18437.13,0.45,99.70,-0.03,434631.00,101.71,2.86,199.30,1.59,2.21,0.08,6.43,27.85,-0.04,0.00,-0.01,0.00,175.18,189.00,171.29,166.60,171.66,64.85,4.96,3.91,0.00,-0.03,0.00
3/1/2018,COST,18437.13,0.23,101.40,-0.02,433239.00,102.28,2.84,199.30,1.70,2.18,0.08,6.96,26.80,-0.02,0.04,0.00,0.00,175.00,188.61,172.38,167.67,173.65,64.49,5.08,3.94,0.00,0.00,0.02
4/1/2018,COST,18565.70,0.40,98.80,-0.02,435061.00,103.43,2.87,200.30,1.70,2.18,0.08,6.96,26.80,0.00,0.01,0.01,0.00,178.43,188.00,174.11,168.85,175.87,66.14,5.04,4.06,0.00,0.02,0.04
5/1/2018,COST,18565.70,0.42,98.00,0.02,439759.00,102.47,2.98,203.20,1.70,2.18,0.08,6.96,26.80,0.03,0.05,-0.03,0.00,184.96,191.26,176.09,171.06,178.67,68.94,5.09,4.30,0.32,0.04,0.04
